First line	book.chapter	Lines by Stanza
The Road goes ever on and on	1.01	[8]
One Ring to rule them all, One Ring to find them,	1.02	[2]
Three Rings for the Elven-kings under the sky,	1.02	[8]
The Road goes ever on and on	1.03	[8]
Upon the hearth the fire is red,	1.03	[10, 10, 10]
Snow-white! Snow-white! O Lady clear!	1.03	[4, 4, 4, 4]
Ho! Ho! Ho! to the bottle I go	1.04	[6]
Sing hey! for the bath at close of day	1.05	[4, 4, 4, 4]
Farewell we call to hearth and hall!	1.05	[4, 4, 4, 2]
O! Wanderers in the shadowed land	1.06	[7]
Hey dol! merry dol! ring a dong dillo!	1.06	[3]
Hey! Come merry dol! derry dol! My darling!	1.06	[14]
Hop along, my little friends, up the Withywindle!	1.06	[8]
Hey! Come derry dol! Hop along, my hearties!	1.06	[3]
Now let the song begin! Let us sing together	1.06	[6]
O slender as a willow-wand! O clearer than clear water!	1.07	[4]
Old Tom Bombadil is a merry fellow;	1.07	[2]
I had an errand there: gathering water-lilies,	1.07	[10]
And that proved well for you – for now I shall no longer	1.07	[6]
Ho! Tom Bombadil, Tom Bombadillo!	1.07	[4]
Cold be hand and heart and bone,	1.08	[8]
Ho! Tom Bombadil, Tom Bombadillo!	1.08	[4]
Old Tom Bombadil is a merry fellow,	1.08	[4]
Get out, you old Wight! Vanish in the sunlight!	1.08	[6]
Wake now my merry lads! Wake and hear me calling!	1.08	[4]
Hey! now! Come hoy now! Whither do you wander?	1.08	[4]
Tom’s country ends here: he will not pass the borders.	1.08	[2]
There is an inn, a merry old inn	1.09	[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]
Gil-galad was an Elven-king.	1.11	[4, 4, 4]
The leaves were long, the grass was green,	1.11	[8, 8, 8, 8, 8, 8, 8, 8, 8]
Troll sat alone on his seat of stone,	1.12	[7, 7, 7, 7, 7, 7, 7, 7]
Eärendil was a mariner	2.01	[8, 12, 16, 16, 20, 16, 12, 12, 12]
A Elbereth Gilthoniel,	2.01	[7]
Seek for the Sword that was broken:	2.02	[8]
All that is gold does not glitter,	2.02	[8]
When winter first begins to bite	2.03	[4]
I sit beside the fire and think	2.03	[4, 4, 4, 4, 4, 4]
Annon edhellen, edro hi ammen!	2.04	[2]
The world was young, the mountains green,	2.04	[10, 6, 8, 8, 4, 10]
An Elven-maid there was of old,	2.06	[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]
When evening in the Shire was grey	2.07	[4, 4, 4, 4, 4, 4]
The finest rockets ever seen:	2.07	[4]
I sang of leaves, of leaves of gold, and leaves of gold there grew:	2.08	[14]
Ai! laurië lantar lassi súrinen	2.08	[7, 1, 7, 2]
Through Rohan over fen and field where the long grass grows	3.01	[10]
From the mouths of the Sea the South Wind flies, from the sandhills and the stones;	3.01	[10]
From the Gate of Kings the North Wind rides, and past the roaring falls;	3.01	[10]
Gondor! Gondor, between the Mountains and the Sea!	3.02	[6]
Learn now the lore of Living Creatures!	3.04	[6]
Beaver the builder, buck the leaper,	3.04	[3]
Eagle in eyrie, ox in pasture,	3.04	[3]
In the willow-meads of Tasarinan I walked in the Spring.	3.04	[18]
When Spring unfolds the beechen leaf, and sap is in the bough;	3.04	[4, 4, 4, 4, 4, 4, 2]
O Orofarnë, Lassemista, Carnimírië!	3.04	[8]
To Isengard! Though Isengard be ringed and barred with doors of stone;	3.04	[7]
Where now are the Dúnedain, Elessar, Elessar?	3.05	[6]
Legolas Greenleaf long under tree	3.05	[4]
Where now the horse and the rider? Where is the horn that was blowing?	3.06	[8]
In Dwimordene, in Lórien	3.06	[10]
Arise now, arise, Riders of Théoden!	3.06	[4]
Ere iron was found or tree was hewn,	3.08	[4]
‘Though Isengard be strong and hard, as cold as stone and bare as bone,	3.09	[2]
Ents the earthborn, old as mountains,	3.10	[4]
Tall ships and tall kings	3.11	[6]
The cold hard lands	4.02	[10]
Alive without breath;	4.02	[14]
Grey as a mouse,	4.03	[22]
Seek for the Sword that was Broken.	4.04	[2]
Gilthoniel A Elbereth!	4.10	[1]
A Elbereth Gilthoniel	4.10	[4]
Over the land there lies a long shadow,	5.02	[12]
From dark Dunharrow in the dim morning	5.03	[21]
Arise, arise, Riders of Théoden!	5.05	[5]
Ride now, ride now! Ride to Gondor!	5.05	[1]
Mourn not overmuch! Mighty was the fallen,	5.06	[3]
Faithful servant yet master’s bane,	5.06	[2]
Out of doubt, out of dark to the day’s rising	5.06	[4]
We heard of the horns in the hills ringing,	5.06	[27]
When the black breath blows	5.08	[6]
Silver flow the streams from Celos to Erui	5.09	[7]
In western lands beneath the Sun	6.01	[8, 8]
‘Long live the Halflings! Praise them with great praise!	6.04	[10]
To the Sea, to the Sea! The white gulls are crying,	6.04	[12]
Sing now, ye people of the Tower of Anor,	6.05	[3, 5, 4, 3, 1]
Out of doubt, out of dark, to the day’s rising	6.06	[5]
The Road goes ever on and on	6.06	[8]
Still round the corner there may wait	6.09	[6]
A! Elbereth Gilthoniel!	6.09	[7]
